,PRICE,TRD_VOLUME,MINERS_FEE,TRAN_VOL,PRICE_VOL,MINERS_REVENUE,DIFFICULTY,TRAN_BLOCK,HASH_RATE,MONEY_SUPPLY,BCH_PRICE
2012-02-25,5.07,338506.455315,4.30575197,181916.0,93.20446861393712,7454.30575197,1376302.0,43.0,10.477474320664005,8416600.0,4.96
2012-02-26,5.00073,390657.302719,3.04870838,89343.0,92.1233057543293,8253.04870838,1376302.0,57.0,10.418831740511033,8424850.0,4.82
2012-02-27,5.1,244820.33591599998,3.37778201,91803.0,91.86190165185663,7503.37778201,1376302.0,47.0,10.340641633640406,8432350.0,4.96
2012-02-28,5.0,269874.59932800004,6.04736552,117586.0,89.03948073103214,7706.04736552,1376302.0,46.0,10.477474320664005,8440050.0,4.95
2012-02-29,4.9,209114.020032,3.49948471,104815.0,88.44690063569708,8003.49948471,1376302.0,50.0,10.78046098478768,8448050.0,4.86
2012-03-01,4.98421,192357.785619,3.65116503,159214.0,88.27272157584659,8953.65116503,1376302.0,45.0,10.975936251964251,8457000.0,4.79
2012-03-02,4.98888,673421.518843,6.45537862,233408.0,89.00232513781019,7556.45537862,1376302.0,44.0,10.829329801581824,8464550.0,4.93
2012-03-03,4.77995,197621.93743599998,4.6708826,158572.0,87.38986151019715,6704.6708826,1496979.0,42.0,10.797559172897213,8471250.0,4.7
2012-03-04,4.9,210428.503019,3.32131104,96622.0,85.9327918670627,5653.32131104,1496979.0,39.0,10.386162641311671,8476900.0,4.64
2012-03-05,5.04,387615.242624,3.77356746,88589.0,87.36849235286564,6853.77356746,1496979.0,34.0,10.376510490576758,8483750.0,4.82
2012-03-06,5.05,208535.282091,5.42830118,116310.0,87.90963077206794,7255.42830118,1496979.0,38.0,10.412809263229263,8491000.0,4.94
2012-03-07,5.07,243593.749918,4.60175738,110238.0,87.4931963414218,6854.60175738,1496979.0,33.0,10.30541947890607,8497850.0,4.97
2012-03-08,5.0,253573.622211,4.0211343,97057.0,87.38348774610729,7704.021134299999,1496979.0,44.0,10.193050891513446,8505550.0,4.92
2012-03-09,4.9499,202271.818468,4.08147223,107066.0,86.90169568586275,7804.08147223,1496979.0,51.0,10.375609172373698,8513350.0,4.9
2012-03-10,4.94,170994.419871,4.181911100000001,102401.0,86.87695534700286,8404.1819111,1496979.0,50.0,10.737054573870324,8521750.0,4.88
2012-03-11,4.99,202433.022814,4.39026369,73297.0,86.59805219009762,8254.39026369,1496979.0,46.0,11.289853423218105,8530000.0,4.89
2012-03-12,4.95915,111077.907704,2.76833951,108891.0,85.5407372521902,6702.76833951,1496979.0,43.0,11.257961181909575,8536700.0,4.89
2012-03-13,5.41,616879.766344,3.9297440000000003,135029.0,84.58792263952358,8303.929744,1496979.0,36.0,11.48120687106926,8545000.0,4.88
2012-03-14,5.4444,373636.887535,11.462526400000002,118761.0,88.09211247170452,8011.4625264,1496979.0,42.0,11.725714054434619,8553000.0,5.22
2012-03-15,5.45,260320.83889400001,5.1367538,156955.0,87.69043766878191,6855.1367538,1496979.0,44.0,11.544991353686312,8559850.0,5.37
2012-03-16,5.4,162261.12692100002,3.48120577,138815.0,66.55382662801709,6053.48120577,1496979.0,43.0,11.17291520508684,8565900.0,5.26
2012-03-17,5.3998,149637.95729700002,8.73077121,89781.0,66.03043626168943,7658.73077121,1498294.0,43.0,11.014882778215377,8573550.0,5.34
2012-03-18,5.379980000000001,212994.98397200002,3.64763934,90067.0,62.805889551765844,8503.64763934,1498294.0,48.0,11.069624046697543,8582050.0,5.29
2012-03-19,5.3099,501626.30937299994,3.26727292,115337.0,61.471952038183886,8003.26727292,1498294.0,37.0,11.347517620047155,8590050.0,5.24
2012-03-20,4.98,763389.5204899999,4.26657468,122659.0,67.16589585330719,7154.26657468,1498294.0,37.0,11.104345832060721,8597200.0,4.81
2012-03-21,4.87,246229.48821999997,4.67126807,146266.0,65.55790563499123,8004.67126807,1498294.0,42.0,11.105839980736446,8605200.0,4.77
2012-03-22,4.88,183497.031828,3.35420326,126082.0,65.14567709946623,7903.35420326,1498294.0,42.0,11.330561141713405,8613100.0,4.8
2012-03-23,4.83,335345.642284,3.37842732,127626.0,65.105054378859,7903.37842732,1498294.0,44.0,11.725374256335835,8621000.0,4.74
2012-03-24,4.74896,214667.030354,4.28174433,103797.0,64.28906360707299,6304.28174433,1498294.0,54.0,11.438091946970074,8627300.0,4.69
2012-03-25,4.68294,310873.445415,14.88836508,126527.0,52.03302014410187,9214.88836508,1498294.0,47.0,11.587053144418988,8636500.0,4.66
2012-03-26,4.73793,330843.537977,6.98000255,111346.0,52.28097909220614,7856.98000255,1498294.0,38.0,11.555132887822792,8644350.0,4.58
2012-03-27,4.74,282240.280127,3.5272506,136448.0,51.62197369892482,7553.5272506,1498294.0,37.0,11.640253572079313,8651900.0,4.63
2012-03-28,4.84592,247231.87607600002,4.29409007,134818.0,51.03688472603925,7804.29409007,1498294.0,47.0,11.59769322995105,8659700.0,4.72
2012-03-29,4.86092,186601.091402,4.70500298,142839.0,51.35483708656187,7504.70500298,1498294.0,58.0,11.51257254569453,8667200.0,4.79
2012-03-30,4.83,163903.618157,4.674722,138699.0,50.99225027159316,7054.674722,1626553.0,53.0,11.460117708165445,8674250.0,4.77
2012-03-31,4.95,239657.36540300003,4.2526487,114701.0,50.936823211942254,7704.2526487000005,1626553.0,58.0,11.89830747145666,8681950.0,4.83
2012-04-01,4.928999999999999,174322.463399,4.67044821,91777.0,50.09289659944327,8504.67044821,1626553.0,56.0,11.904186875480963,8690450.0,4.89
2012-04-02,5.08,363920.435727,3.79019858,111515.0,47.69180021604945,7103.79019858,1626553.0,46.0,11.873923036083498,8697550.0,4.79
2012-04-03,5.01,347947.19866,4.23804944,153329.0,48.563790125358715,5804.23804944,1626553.0,41.0,11.60717598229,8703350.0,4.94
2012-04-04,4.97,305609.316704,4.97549642,156515.0,46.8596680514,6654.97549642,1626553.0,40.0,11.48359401502861,8710000.0,4.91
2012-04-05,4.94486,181999.040944,4.92289303,167750.0,46.07400084508986,6854.92289303,1626553.0,58.0,11.470056211357827,8716850.0,4.89
2012-04-06,4.96,249517.872009,5.08743188,180108.0,46.044673069073326,5855.08743188,1626553.0,52.0,11.192834308968513,8722700.0,4.91
2012-04-07,4.98,410663.8892,4.55230007,108965.0,45.99992902815561,6804.55230007,1626553.0,61.0,10.98491788217653,8729500.0,4.95
2012-04-08,4.8,268961.962356,3.83199687,85880.0,48.435153043700865,6453.83199687,1626553.0,59.0,10.511330465594783,8735950.0,4.74
2012-04-09,4.8,124253.24391800001,3.7446752,258683.0,48.45733289335041,7503.7446752000005,1626553.0,59.0,10.603737766391225,8743450.0,4.76
2012-04-10,4.9,279791.163535,4.1233699999999995,256832.0,48.6730196534705,7304.12337,1626553.0,62.0,10.950265144377864,8750750.0,4.82
2012-04-11,4.8941,211884.238374,6.76317783,139353.0,48.675829365536565,7356.76317783,1626553.0,58.0,11.111977920771633,8758100.0,4.81
2012-04-12,4.98,326390.791102,5.99264429,255538.0,49.12366324302139,7055.99264429,1626553.0,58.0,11.158181571169848,8765150.0,4.9
2012-04-13,4.94464,393935.34230300004,5.52846468,194199.0,42.723858043609994,6355.52846468,1577913.0,66.0,11.22982294654001,8771500.0,4.88
2012-04-14,5.03,453609.726954,4.58348946,187669.0,41.31687690287199,6154.58348946,1577913.0,51.0,11.037174993557429,8777650.0,4.89
2012-04-15,4.98389,142891.622208,5.903442299999999,86481.0,41.34736020803413,6955.903442300001,1577913.0,51.0,11.104671384616527,8784600.0,4.97
2012-04-16,4.98,143852.478345,3.43233416,163626.0,40.93731978720482,5353.43233416,1577913.0,52.0,10.571022699395382,8789950.0,4.93
